source_figure_id	chapter_slug	source_href	asset_path	media_type	alt_text	caption_text	notes
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-03	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-03.jpg	image/jpeg			source_asset_href=image_rsrc1JU6.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-04	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-04.jpg	image/jpeg			source_asset_href=image_rsrc1JU7.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-05	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-05.jpg	image/jpeg			source_asset_href=image_rsrc1JU8.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-06	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-06.jpg	image/jpeg			source_asset_href=image_rsrc1JU9.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-07	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-07.jpg	image/jpeg			source_asset_href=image_rsrc1JUA.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-08	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-08.jpg	image/jpeg			source_asset_href=image_rsrc1JUB.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-09	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-09.jpg	image/jpeg			source_asset_href=image_rsrc1JUC.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-10	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-10.jpg	image/jpeg			source_asset_href=image_rsrc1JUD.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-11	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-11.jpg	image/jpeg			source_asset_href=image_rsrc1JUE.jpg
030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-12	030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management	cBJX.xhtml	source/figures-raw/030-emergency-tracheostomy-and-laryngectomy-pre-hospital-management-fig-12.jpg	image/jpeg			source_asset_href=image_rsrc1JUF.jpg
